Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=674b45f478b7c655939c4c091b855685&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=3&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_9Y
2015-11-27,0.543533,0.650275,0.744584,0.827613,0.900674,0.965067,-0.402139,1.194018,1.330746,-0.408368,1.420510,-0.404384,-0.367462,-0.274953,-0.146859,-0.398699,-0.001272,0.147730,0.291043,0.423682
2015-11-26,0.570331,0.676987,0.771098,0.853870,0.926653,0.990766,-0.403286,1.218534,1.354484,-0.402343,1.443723,-0.410787,-0.355063,-0.257465,-0.125636,-0.403409,0.022494,0.173093,0.317310,0.450371
2015-11-25,0.560578,0.665999,0.759039,0.840888,0.912875,0.976300,-0.403085,1.201727,1.336348,-0.403400,1.424745,-0.405330,-0.355941,-0.258584,-0.127688,-0.400431,0.019018,0.167974,0.310527,0.442025
2015-11-24,0.601333,0.706298,0.798700,0.879817,0.951038,1.013702,-0.367564,1.235952,1.368491,-0.369224,1.455502,-0.371790,-0.322236,-0.223794,-0.091051,-0.365533,0.057487,0.207825,0.351181,0.482942
2015-11-23,0.615443,0.717926,0.807602,0.885953,0.954495,1.014637,-0.378844,1.227118,1.353612,-0.380260,1.436703,-0.379746,-0.327659,-0.221580,-0.081931,-0.374717,0.071448,0.224308,0.368184,0.498983
2015-11-20,0.564390,0.666297,0.756011,0.834773,0.903932,0.964790,-0.374952,1.180718,1.309595,-0.377743,1.394280,-0.377167,-0.332490,-0.236942,-0.107991,-0.371849,0.036297,0.182308,0.321513,0.449445
2015-11-19,0.582335,0.686686,0.778720,0.859633,0.930760,0.993400,-0.356186,1.215882,1.348689,-0.364041,1.435896,-0.352154,-0.321916,-0.228022,-0.099408,-0.349284,0.045649,0.193249,0.334574,0.464904
2015-11-18,0.621834,0.730517,0.826476,0.910916,0.985193,1.050639,-0.362901,1.283201,1.421955,-0.365150,1.512954,-0.363586,-0.318043,-0.219273,-0.085596,-0.359120,0.064734,0.217695,0.364300,0.499682
2015-11-17,0.635208,0.744162,0.840336,0.924955,0.999385,1.064965,-0.368777,1.298000,1.437029,-0.366566,1.528195,-0.370762,-0.314958,-0.212674,-0.076528,-0.366251,0.075453,0.229499,0.376825,0.512701
2015-11-16,0.633914,0.742955,0.839258,0.924021,0.998599,1.064320,-0.362808,1.297915,1.437289,-0.360268,1.528678,-0.368875,-0.310396,-0.210103,-0.075572,-0.362430,0.075297,0.228671,0.375649,0.511398
2015-11-13,0.651997,0.760780,0.856773,0.941213,1.015473,1.080894,-0.369545,1.313318,1.451958,-0.358966,1.542860,-0.382257,-0.302790,-0.198006,-0.060525,-0.373594,0.092123,0.246447,0.393826,0.529630
2015-11-12,0.708693,0.818762,0.915392,1.000040,1.074240,1.139442,-0.345331,1.370176,1.507443,-0.346491,1.597390,-0.336886,-0.289209,-0.176999,-0.030268,-0.336575,0.130994,0.292283,0.444792,0.584102
2015-11-11,0.719573,0.832780,0.932432,1.019913,1.096718,1.164290,-0.346624,1.403779,1.546293,-0.344146,1.639596,-0.345977,-0.287132,-0.176122,-0.029984,-0.342449,0.131811,0.294713,0.449642,0.591859
2015-11-10,0.737719,0.852579,0.953641,1.042319,1.120145,1.188592,-0.338332,1.431011,1.575157,-0.337835,1.669477,-0.338431,-0.282119,-0.170796,-0.023086,-0.334161,0.140964,0.306341,0.463676,0.608083
2015-11-09,0.780836,0.894920,0.995328,1.083461,1.160832,1.228896,-0.330397,1.470063,1.613486,-0.310142,1.707310,-0.352593,-0.243296,-0.126543,0.023215,-0.340217,0.187500,0.352260,0.508662,0.652095
2015-11-06,0.764452,0.871169,0.965004,1.047326,1.119578,1.183136,-0.326313,1.408462,1.542685,-0.292194,1.630652,-0.357503,-0.216919,-0.098421,0.047840,-0.342790,0.205335,0.361657,0.509126,0.643838
2015-11-05,0.693053,0.797744,0.889823,0.970611,1.041521,1.103900,-0.330234,1.325078,1.456918,-0.314753,1.543413,-0.344459,-0.253249,-0.144650,-0.005564,-0.335608,0.146573,0.298739,0.442860,0.574794
2015-11-04,0.661346,0.763814,0.853912,0.932943,1.002296,1.063296,-0.335454,1.279566,1.408532,-0.321169,1.493201,-0.352287,-0.262778,-0.157784,-0.022315,-0.342026,0.126355,0.275267,0.416380,0.545569
2015-11-03,0.659028,0.758434,0.845746,0.922275,0.989395,1.048411,-0.326126,1.257575,1.382340,-0.309211,1.464306,-0.343145,-0.248709,-0.143266,-0.008985,-0.333184,0.137296,0.283107,0.420807,0.546551
2015-11-02,0.658193,0.755708,0.841282,0.916236,0.981942,1.039692,-0.319035,1.244287,1.366333,-0.301029,1.446545,-0.336315,-0.239671,-0.134127,-0.000562,-0.326374,0.144349,0.288362,0.424049,0.547727
2015-10-30,0.617221,0.712961,0.797077,0.870823,0.935518,0.992415,-0.329755,1.194187,1.314668,-0.313350,1.393902,-0.347157,-0.255445,-0.154335,-0.025396,-0.337084,0.115190,0.255410,0.387895,0.508924
2015-10-29,0.594861,0.689979,0.773548,0.846813,0.911086,0.967610,-0.337824,1.168073,1.287798,-0.325492,1.366558,-0.350325,-0.270127,-0.170785,-0.043217,-0.342124,0.096220,0.235436,0.367030,0.487267
2015-10-28,0.556527,0.652828,0.737786,0.812512,0.878230,0.936136,-0.344807,1.142070,1.265251,-0.336986,1.346283,-0.356907,-0.288670,-0.196543,-0.074917,-0.348537,0.060379,0.197206,0.327841,0.448161
2015-10-27,0.538000,0.633861,0.718725,0.793585,0.859576,0.917832,-0.351379,1.125629,1.250170,-0.339297,1.332116,-0.366237,-0.290095,-0.200027,-0.081862,-0.357346,0.049807,0.183525,0.311819,0.430564
2015-10-26,0.583767,0.681122,0.767080,0.842743,0.909330,0.968033,-0.338252,1.176976,1.301997,-0.327078,1.384207,-0.347936,-0.274289,-0.178594,-0.054435,-0.341254,0.082687,0.220947,0.352825,0.474299
2015-10-23,0.598247,0.696938,0.783994,0.860555,0.927881,0.987198,-0.325801,1.198083,1.324140,-0.319531,1.406998,-0.333375,-0.269842,-0.174839,-0.049666,-0.326941,0.089356,0.229803,0.363803,0.487169
2015-10-22,0.565403,0.664065,0.751612,0.829002,0.897351,0.957781,-0.345059,1.173881,1.303567,-0.339218,1.388847,-0.336860,-0.287057,-0.192407,-0.070064,-0.338531,0.065178,0.202086,0.333397,0.455084
2015-10-21,0.672327,0.769500,0.855349,0.930959,0.997532,1.056247,-0.286138,1.265358,1.390479,-0.256464,1.472700,-0.316598,-0.193189,-0.092191,0.034260,-0.302278,0.172096,0.310347,0.441953,0.563117
2015-10-20,0.717915,0.815697,0.901783,0.977389,1.043812,1.102295,-0.271401,1.310021,1.434085,-0.243023,1.515574,-0.295146,-0.175679,-0.068464,0.064299,-0.283706,0.207527,0.349920,0.484459,0.607548
2015-10-19,0.653151,0.750632,0.836685,0.912422,0.979069,1.037822,-0.287579,1.246916,1.371976,-0.270242,1.454164,-0.302306,-0.212837,-0.114027,0.012109,-0.293977,0.150442,0.289432,0.421753,0.543503
2015-10-16,0.641251,0.737668,0.822924,0.898061,0.964253,1.022654,-0.299086,1.230781,1.355388,-0.269954,1.437302,-0.332518,-0.209406,-0.111666,0.011727,-0.316735,0.146972,0.283139,0.413114,0.533016
2015-10-15,0.638881,0.735950,0.821768,0.897388,0.963995,1.022754,-0.295212,1.232097,1.357397,-0.271844,1.439757,-0.322115,-0.214322,-0.117747,0.005598,-0.308724,0.141383,0.278345,0.409178,0.529902
2015-10-14,0.645483,0.743174,0.829428,0.905344,0.972143,1.031023,-0.274692,1.240502,1.365755,-0.262202,1.448066,-0.291344,-0.210820,-0.116625,0.006614,-0.281392,0.143390,0.281696,0.413833,0.535654
2015-10-13,0.677516,0.775290,0.861528,0.937374,1.004080,1.062858,-0.280326,1.271881,1.396821,-0.257781,1.478909,-0.302587,-0.197296,-0.096198,0.031801,-0.291194,0.171646,0.311823,0.445034,0.567424
2015-10-12,0.663712,0.759990,0.844926,0.919646,0.985374,1.043303,-0.285178,1.249397,1.372655,-0.260665,1.453673,-0.308625,-0.199383,-0.098810,0.027733,-0.296984,0.165629,0.303694,0.434842,0.555325
2015-10-09,0.696497,0.793574,0.879109,0.954283,1.020365,1.078573,-0.282444,1.285484,1.409143,-0.253736,1.490393,-0.306384,-0.186997,-0.081192,0.049783,-0.294974,0.191191,0.331934,0.465076,0.587029
2015-10-08,0.667756,0.763503,0.847915,0.922133,0.987394,1.044893,-0.283367,1.249366,1.371631,-0.257833,1.452002,-0.307437,-0.195504,-0.094094,0.032959,-0.295602,0.171030,0.308991,0.439830,0.559876
2015-10-07,0.697051,0.794149,0.879605,0.954632,1.020526,1.078526,-0.275108,1.284448,1.407417,-0.248742,1.488211,-0.302659,-0.185197,-0.081294,0.049032,-0.289052,0.190531,0.331653,0.465192,0.587435
2015-10-06,0.703767,0.801926,0.888298,0.964114,1.030688,1.089278,-0.265394,1.297230,1.421366,-0.246557,1.502904,-0.282441,-0.185979,-0.082516,0.048655,-0.272923,0.191557,0.334241,0.469299,0.592927
2015-10-05,0.640691,0.735969,0.819923,0.893696,0.958530,1.015624,-0.280163,1.218494,1.339751,-0.262674,1.419479,-0.303229,-0.208306,-0.112559,0.010979,-0.290739,0.147001,0.283762,0.413833,0.533307
2015-10-02,0.579842,0.672794,0.755040,0.827561,0.891472,0.947877,-0.291366,1.149025,1.269583,-0.276753,1.348926,-0.309761,-0.227243,-0.138589,-0.023007,-0.299533,0.105402,0.235566,0.360283,0.475597
2015-10-01,0.637425,0.731948,0.814790,0.887255,0.950702,1.006410,-0.284738,1.203459,1.320935,-0.266287,1.398193,-0.331132,-0.216489,-0.122586,0.001876,-0.306778,0.140008,0.278811,0.410244,0.530247
2015-09-30,0.689000,0.784319,0.867568,0.940176,1.003598,1.059182,-0.270434,1.255229,1.371884,-0.236818,1.448565,-0.358073,-0.183919,-0.087715,0.040067,-0.314973,0.181962,0.324239,0.458463,0.580487
2015-09-29,0.684352,0.785477,0.876181,0.956612,1.027199,1.088548,-0.318678,1.282255,1.350016,-0.271531,1.354016,-0.315487,-0.183519,-0.069848,0.057977,-0.320937,0.191430,0.324365,0.452515,0.573076
2015-09-28,0.694409,0.796813,0.888373,0.969258,1.039936,1.101062,-0.297589,1.290697,1.352814,-0.262474,1.351861,-0.279866,-0.180599,-0.069209,0.058713,-0.290788,0.193593,0.328563,0.458882,0.581451
2015-09-25,0.734109,0.838374,0.931286,1.013077,1.084283,1.145626,-0.288324,1.333515,1.392264,-0.252299,1.388237,-0.269019,-0.167365,-0.051800,0.080699,-0.280738,0.220084,0.359195,0.493131,0.618724
2015-09-24,0.658819,0.758111,0.846702,0.924754,0.992735,1.051304,-0.280444,1.230326,1.285271,-0.257254,1.279890,-0.251037,-0.184339,-0.079897,0.042425,-0.266165,0.172596,0.303443,0.430029,0.549131
2015-09-23,0.687803,0.790808,0.882924,0.964308,1.035429,1.096945,-0.291707,1.288052,1.351482,-0.263303,1.352082,-0.266557,-0.185500,-0.076369,0.050507,-0.280224,0.185118,0.320290,0.451073,0.574226
2015-09-22,0.698197,0.804188,0.898932,0.982579,1.055614,1.118720,-0.295008,1.314003,1.377825,-0.271829,1.377239,-0.262641,-0.195645,-0.085716,0.043487,-0.279085,0.181303,0.320090,0.454574,0.581302
2015-09-21,0.759796,0.865477,0.959566,1.042324,1.114313,1.176284,-0.280592,1.365813,1.425106,-0.243937,1.421445,-0.260651,-0.157296,-0.039438,0.095599,-0.272712,0.237535,0.379064,0.515201,0.642736
2015-09-18,0.724512,0.827827,0.919892,1.000940,1.071505,1.132304,-0.287917,1.318717,1.377464,-0.252645,1.374255,-0.268244,-0.168692,-0.054265,0.077006,-0.280064,0.215128,0.352988,0.485717,0.610175
2015-09-17,0.852557,0.962098,1.059149,1.144096,1.217623,1.280589,-0.266450,1.469973,1.525492,-0.219932,1.517588,-0.252347,-0.122323,0.006618,0.152197,-0.262665,0.303732,0.453709,0.597066,0.730616
2015-09-16,0.839601,0.951091,1.049945,1.136524,1.211506,1.275752,-0.278323,1.469302,1.526477,-0.237840,1.518963,-0.257143,-0.143386,-0.015568,0.130274,-0.270103,0.282971,0.434647,0.579983,0.715608
2015-09-15,0.800889,0.911235,1.009470,1.095868,1.171025,1.235730,-0.280279,1.433899,1.496651,-0.244252,1.494037,-0.256999,-0.155180,-0.032929,0.107637,-0.270500,0.255638,0.403343,0.545477,0.678653
2015-09-14,0.722984,0.830474,0.926678,1.011724,1.086079,1.150421,-0.273027,1.350576,1.417457,-0.252141,1.418731,-0.238017,-0.177129,-0.067507,0.062037,-0.255441,0.200663,0.340582,0.476405,0.604587
2015-09-11,0.743939,0.852187,0.948966,1.034442,1.109113,1.173680,-0.276496,1.374211,1.441045,-0.250479,1.442280,-0.245904,-0.171123,-0.057864,0.074693,-0.261798,0.215784,0.357699,0.495116,0.624559
2015-09-10,0.767044,0.874838,0.970843,1.055308,1.128802,1.192084,-0.276921,1.385917,1.447241,-0.245713,1.444642,-0.250183,-0.161525,-0.044076,0.091888,-0.264815,0.235568,0.379285,0.517791,0.647706
2015-09-09,0.794913,0.904792,1.002385,1.087991,1.162236,1.225942,-0.272208,1.418742,1.476901,-0.243113,1.471062,-0.240743,-0.157885,-0.037546,0.102233,-0.257318,0.250024,0.397739,0.539886,0.672956
2015-09-08,0.758167,0.863963,0.958255,1.041284,1.113602,1.175947,-0.271935,1.367797,1.429790,-0.238480,1.428916,-0.248882,-0.154196,-0.038048,0.095775,-0.262059,0.236879,0.377871,0.513697,0.641101
2015-09-07,0.746376,0.851865,0.945751,1.028288,1.100045,1.161775,-0.276077,1.350269,1.409225,-0.246246,1.406013,-0.248765,-0.163988,-0.048867,0.084512,-0.263540,0.225469,0.366425,0.502214,0.629512
2015-09-04,0.762577,0.866873,0.959321,1.040271,1.110361,1.170405,-0.288613,1.351221,1.404716,-0.249306,1.398097,-0.269983,-0.159747,-0.039237,0.097886,-0.281706,0.241213,0.383419,0.519569,0.646544
2015-09-03,0.822724,0.931593,1.027665,1.111385,1.183501,1.244930,-0.283613,1.426343,1.475603,-0.245359,1.463873,-0.259046,-0.151741,-0.024252,0.121227,-0.273352,0.273237,0.423775,0.567505,0.701102
2015-09-02,0.880398,0.986742,1.080155,1.161208,1.230733,1.289705,-0.275855,1.461457,1.505105,-0.216175,1.490463,-0.273072,-0.107950,0.028972,0.180016,-0.279497,0.334753,0.485991,0.629018,0.760983
2015-09-01,0.878513,0.984535,1.077976,1.159360,1.229468,1.289223,-0.271556,1.466502,1.516111,-0.208788,1.506589,-0.273733,-0.100078,0.035844,0.185175,-0.278193,0.337998,0.487437,0.628963,0.759810
2015-08-31,0.802492,0.906378,0.998431,1.079026,1.148816,1.208618,-0.265122,1.389037,1.443010,-0.218767,1.437211,-0.253924,-0.124600,-0.001231,0.137525,-0.262932,0.281648,0.424101,0.560156,0.686842
2015-08-28,0.772604,0.875137,0.965877,1.045197,1.113753,1.172364,-0.270239,1.347586,1.397709,-0.230038,1.389226,-0.252840,-0.140321,-0.020257,0.115945,-0.264095,0.257995,0.398676,0.533145,0.658357
2015-08-27,0.810522,0.916559,1.010252,1.092018,1.162563,1.222764,-0.269251,1.401710,1.451838,-0.229454,1.442136,-0.248577,-0.137122,-0.012652,0.128867,-0.261270,0.276534,0.422723,0.562339,0.692195
2015-08-26,0.791364,0.895311,0.987047,1.066992,1.135854,1.194505,-0.265150,1.367520,1.414090,-0.228356,1.402370,-0.242012,-0.138842,-0.017086,0.121788,-0.255552,0.266870,0.410544,0.547728,0.675254
2015-08-25,0.795015,0.898265,0.989157,1.068164,1.136037,1.193682,-0.275622,1.362073,1.405323,-0.234421,1.391528,-0.256306,-0.141340,-0.016852,0.123978,-0.268527,0.270326,0.414676,0.552052,0.679388
2015-08-24,0.625140,0.719863,0.803827,0.877281,0.940772,0.995022,-0.275278,1.156244,1.200432,-0.259661,1.190060,-0.237345,-0.191748,-0.091038,0.028010,-0.255663,0.154894,0.282208,0.404934,0.519866
2015-08-21,0.666845,0.765690,0.853571,0.930732,0.997719,1.055255,-0.280031,1.230012,1.283772,-0.257897,1.280191,-0.247625,-0.184101,-0.077909,0.046354,-0.264024,0.178254,0.310413,0.437817,0.557253
2015-08-20,0.655978,0.755960,0.845204,0.923895,0.992528,1.051783,-0.284608,1.235203,1.296445,-0.264080,1.298749,-0.251472,-0.192108,-0.087597,0.035337,-0.268048,0.166364,0.298133,0.425611,0.545539
2015-08-19,0.725199,0.828686,0.920689,1.001488,1.071670,1.132002,-0.275234,1.316230,1.374866,-0.249138,1.373964,-0.244165,-0.169752,-0.057062,0.074077,-0.260310,0.212858,0.351646,0.485270,0.610425
2015-08-18,0.711424,0.813507,0.904289,0.984047,1.053355,1.112968,-0.279131,1.295332,1.353802,-0.251617,1.353420,-0.250463,-0.172247,-0.060500,0.069142,-0.265655,0.206138,0.343046,0.474818,0.598233
2015-08-17,0.690342,0.791408,0.881165,0.959907,1.028226,1.086887,-0.291907,1.265311,1.321301,-0.265870,1.319610,-0.261589,-0.187500,-0.076533,0.052395,-0.277398,0.188655,0.324763,0.455664,0.578140
2015-08-14,0.714696,0.818491,0.910409,0.990796,1.060305,1.119767,-0.292412,1.298355,1.351696,-0.270152,1.346992,-0.255172,-0.191397,-0.077540,0.055607,-0.273764,0.196613,0.337465,0.472781,0.599168
2015-08-13,0.703144,0.807104,0.899409,0.980363,1.050580,1.110855,-0.295843,1.294182,1.352077,-0.273924,1.351117,-0.259310,-0.196333,-0.083973,0.047663,-0.277547,0.187337,0.327139,0.461730,0.587715
2015-08-12,0.679757,0.782962,0.874715,0.955285,1.025257,1.085400,-0.299443,1.269091,1.328012,-0.280735,1.328111,-0.260562,-0.206262,-0.096794,0.032253,-0.279568,0.169678,0.307578,0.440599,0.565320
2015-08-11,0.693746,0.797976,0.890726,0.972276,1.043215,1.104320,-0.293822,1.292874,1.356824,-0.275000,1.361955,-0.254493,-0.199891,-0.089488,0.040649,-0.273712,0.179225,0.318280,0.452433,0.578251
2015-08-10,0.741211,0.848203,0.943203,1.026544,1.098874,1.161019,-0.298106,1.351036,1.412959,-0.271751,1.414738,-0.264300,-0.189213,-0.071726,0.064981,-0.281702,0.209510,0.353852,0.492614,0.622383
2015-08-07,0.734141,0.841453,0.937000,1.021072,1.094277,1.157403,-0.300074,1.352966,1.420120,-0.273178,1.426167,-0.267903,-0.191208,-0.074811,0.060671,-0.284610,0.204083,0.347550,0.485743,0.615262
2015-08-06,0.778070,0.886085,0.981805,1.065614,1.138208,1.200456,-0.283649,1.389678,1.450288,-0.255247,1.451099,-0.250321,-0.169777,-0.049025,0.090916,-0.267695,0.238427,0.385379,0.526331,0.657869
2015-08-05,0.806433,0.915407,1.011853,1.096200,1.169177,1.231686,-0.281422,1.421151,1.481355,-0.248349,1.481742,-0.251755,-0.158579,-0.033986,0.109301,-0.267899,0.259660,0.408990,0.551890,0.684994
2015-08-04,0.707443,0.809837,0.900836,0.980747,1.050175,1.109899,-0.284244,1.293335,1.354308,-0.259175,1.357655,-0.251992,-0.180550,-0.068589,0.061738,-0.268587,0.199584,0.337325,0.469822,0.593817
2015-08-03,0.685602,0.785454,0.874223,0.952205,1.019985,1.078318,-0.284061,1.257716,1.317587,-0.258208,1.321110,-0.254220,-0.180730,-0.071142,0.056109,-0.269803,0.190551,0.324825,0.453966,0.574827
2015-07-31,0.713698,0.814090,0.903185,0.981335,1.049169,1.107478,-0.290603,1.286281,1.345578,-0.255890,1.348819,-0.268903,-0.171446,-0.056439,0.074972,-0.281614,0.212562,0.349177,0.480023,0.602093
2015-07-30,0.726744,0.831187,0.923986,1.005465,1.076252,1.137151,-0.288980,1.324409,1.387199,-0.262317,1.391470,-0.257042,-0.181229,-0.066322,0.067151,-0.273635,0.208149,0.348916,0.484235,0.610806
2015-07-29,0.767942,0.873210,0.966402,1.047928,1.118489,1.178953,-0.284065,1.362484,1.421196,-0.251426,1.422143,-0.256168,-0.164306,-0.043753,0.094721,-0.271483,0.239950,0.384148,0.522128,0.650658
2015-07-28,0.765434,0.869512,0.961725,1.042475,1.112452,1.172501,-0.284914,1.355778,1.415777,-0.247801,1.418395,-0.262764,-0.158761,-0.037959,0.099739,-0.275891,0.243622,0.386222,0.522562,0.649540
2015-07-27,0.736055,0.838936,0.930277,1.010420,1.080001,1.139823,-0.275936,1.323414,1.384601,-0.246391,1.388410,-0.247528,-0.163996,-0.048916,0.083944,-0.262794,0.223810,0.363132,0.496843,0.621754
2015-07-24,0.757759,0.862108,0.954479,1.035275,1.105190,1.165083,-0.278930,1.346672,1.404497,-0.249012,1.405156,-0.248652,-0.164217,-0.045689,0.090999,-0.264799,0.234638,0.377414,0.514118,0.641502
2015-07-23,0.807490,0.914384,1.008739,1.091029,1.162024,1.222653,-0.273412,1.404640,1.460529,-0.239665,1.458924,-0.244185,-0.149444,-0.024811,0.118039,-0.260204,0.267500,0.415529,0.556806,0.688055
2015-07-22,0.813950,0.920920,1.015491,1.098130,1.169589,1.230775,-0.278672,1.416325,1.475919,-0.238719,1.477485,-0.256663,-0.144990,-0.018587,0.124976,-0.269982,0.274563,0.422444,0.563502,0.694578
2015-07-21,0.834957,0.943027,1.038508,1.121893,1.193958,1.255632,-0.278501,1.442443,1.502309,-0.235497,1.503816,-0.258685,-0.138738,-0.009449,0.136775,-0.271289,0.288755,0.438745,0.581630,0.714267
2015-07-20,0.814040,0.921105,1.015751,1.098443,1.169934,1.231134,-0.276939,1.416562,1.475902,-0.238085,1.477212,-0.253663,-0.144978,-0.018877,0.124589,-0.267454,0.274202,0.422175,0.563353,0.694553
2015-07-17,0.841884,0.949939,1.045231,1.128300,1.199961,1.261172,-0.289998,1.445464,1.503238,-0.242583,1.503297,-0.273874,-0.142068,-0.009699,0.138957,-0.285214,0.292775,0.444081,0.587838,0.720981
2015-07-16,0.926342,1.039731,1.139282,1.225662,1.299816,1.362832,-0.284185,1.549375,1.604219,-0.232591,1.600244,-0.266731,-0.123708,0.019153,0.179000,-0.279049,0.343771,0.505220,0.657999,0.798918
2015-07-15,0.897563,1.011315,1.110914,1.197044,1.270686,1.332970,-0.288682,1.513949,1.562508,-0.251552,1.553030,-0.254272,-0.150695,-0.011705,0.146810,-0.272944,0.311675,0.473899,0.627657,0.769475
2015-07-14,0.975806,1.092186,1.193802,1.281455,1.356224,1.419322,-0.286831,1.601630,1.649735,-0.234860,1.639555,-0.264658,-0.120930,0.029357,0.197463,-0.279150,0.370338,0.539149,0.698251,0.844343
2015-07-13,1.007083,1.124233,1.226366,1.314337,1.389269,1.452409,-0.283015,1.634016,1.681067,-0.225928,1.670041,-0.264793,-0.107277,0.047195,0.218889,-0.277967,0.394750,0.565980,0.726986,0.874537
2015-07-10,1.011757,1.126738,1.226440,1.311820,1.384085,1.444550,-0.286216,1.613968,1.651996,-0.226395,1.634855,-0.269187,-0.104709,0.052415,0.226023,-0.282091,0.402924,0.574324,0.734718,0.880999
2015-07-09,0.862320,0.959186,1.042612,1.114663,1.177174,1.231710,-0.265286,1.423001,1.536517,-0.263634,1.611074,-0.257069,-0.182377,-0.039487,0.131933,-0.254057,0.307084,0.471862,0.619991,0.749872
2015-07-08,0.821518,0.914499,0.994642,1.063902,1.124024,1.176497,-0.281381,1.360714,1.470158,-0.266616,1.542114,-0.284214,-0.181836,-0.042397,0.122313,-0.278284,0.289912,0.447497,0.589256,0.713681
2015-07-07,0.817460,0.913177,0.995840,1.067384,1.129553,1.183853,-0.270320,1.374644,1.487996,-0.268272,1.562481,-0.260260,-0.191626,-0.056421,0.107033,-0.258977,0.275411,0.435010,0.579423,0.706740
2015-07-06,0.921017,1.023698,1.112323,1.188990,1.255584,1.313728,-0.284032,1.517815,1.638825,-0.266782,1.718166,-0.291122,-0.175123,-0.024180,0.154736,-0.282872,0.337432,0.509781,0.665290,0.802144
2015-07-03,0.966837,1.071763,1.162086,1.240061,1.307687,1.366662,-0.270981,1.573300,1.695650,-0.266876,1.775809,-0.259128,-0.174551,-0.015990,0.172335,-0.257543,0.363691,0.543102,0.704038,0.844952
2015-07-02,1.011862,1.119465,1.212201,1.292331,1.361871,1.422542,-0.270515,1.635198,1.761048,-0.255358,1.843413,-0.264205,-0.155039,0.008791,0.201087,-0.261736,0.395967,0.578769,0.742997,0.887050
2015-07-01,0.986515,1.091594,1.182375,1.260966,1.329268,1.388926,-0.256488,1.598385,1.722504,-0.233403,1.803789,-0.258199,-0.134724,0.021665,0.204808,-0.253719,0.391095,0.566720,0.725293,0.865006
2015-06-30,0.930385,1.030875,1.117868,1.193301,1.258944,1.316337,-0.258818,1.518195,1.638034,-0.228219,1.716622,-0.265891,-0.130981,0.017388,0.189844,-0.260648,0.365335,0.531253,0.681579,0.814469
2015-06-29,0.962734,1.062905,1.149493,1.224490,1.289698,1.346675,-0.250691,1.546888,1.665681,-0.214969,1.743571,-0.259767,-0.111937,0.041459,0.217648,-0.254110,0.395590,0.562922,0.713910,0.846963
2015-06-26,1.045932,1.149465,1.238663,1.315723,1.382593,1.440934,-0.246065,1.645461,1.766560,-0.209466,1.845857,-0.250031,-0.096458,0.070912,0.261120,-0.246231,0.451227,0.628357,0.786935,0.925769
2015-06-25,0.979175,1.078581,1.164269,1.238326,1.302613,1.358718,-0.240919,1.555547,1.672242,-0.210797,1.748765,-0.244206,-0.107592,0.049072,0.229021,-0.240129,0.409919,0.579057,0.730820,0.863887
2015-06-24,0.945861,1.042615,1.126148,1.198434,1.261243,1.316100,-0.244832,1.508789,1.623163,-0.208676,1.698221,-0.250104,-0.105092,0.047193,0.220701,-0.246518,0.394951,0.558123,0.704875,0.833860
2015-06-23,1.002477,1.100544,1.184927,1.257760,1.320923,1.376008,-0.239894,1.569094,1.683533,-0.202311,1.758587,-0.246253,-0.091748,0.070383,0.253626,-0.241598,0.436004,0.605335,0.756479,0.888471
2015-06-22,1.000607,1.096414,1.178758,1.249772,1.311320,1.364975,-0.232453,1.552972,1.664414,-0.193452,1.737538,-0.237094,-0.081256,0.081286,0.263633,-0.233520,0.444167,0.611114,0.759659,0.889059
